N3042022	3439 7022 3439
N9657520	6274 4071 3511 4987 7096 5551 6008 2915 5444 3864
N9657528	5310 3485 6176 3886 5189
N9657538	4550 3623
N9657545	4526
N9657703	2163 2318 3793 3793 4441 5862 4841 8269 7193 4270 3440
N9657759	7585 7221 1165 7863 3778 3778 8369 6157 193 1487
N9657781	7389 6980 1419 2266 3985 4583 885 7389 6980 1419 2266 3985 4583 885
N9657791	7953 1052
N9657797	5310 6220 6846 3067 5916 2298 6930 4564 967 871 6370 6459 2328 7193 437 6932
N9657822	7311
N9657868	2591 2591 2176 8324 3338 62
N9657929	85 5310 6341 6188
N9657959	4691 6718 1906 7575 3605 1577 7499 1353 5189 81
N9658056	4071 7335 6712
N9658057	8526 7740 3891 6346 5004 6954 7288 8202 1681
N9658093	7499
N9658168	3111 1300
N9658232	6261 6261
N9658252	1401
N9658292	3613 7171
N9658299	7678
N9658561	123 2317 7658
N9658650	7574 7171 8543 1872 2053
N9658841	2163 3479 3479 8202 5084
N9659022	5310 7210
N9659139	7899
N9659208	2119 3821 5973 6091 4653 1577 7510 1162
N9659254	473 2489 6577 8029 3484 4841
N9659265	5954 3440
N9659271	4715
N9659289	7899
N9659308	1034 3709 5310 1990 7499 6320 7412
N9659315	5310 6220 5916 2298 6930 4564 967 871 6459 437
N9659333	4680
N9659345	4071 1018
N9659369	7501 1579 6941 5984
N9659512	5310 4767 7531
N9659529	4222 8067 4722
N9659535	3573 4841 3440
N9659608	5310 4583 6933
N9659666	5337 7240 1134
N9659671	4900 7451 8091 4879 6933
N9659675	6176 2127 4468 6510 2856
N9659699	7499
N9659740	8440 5221 2127 7831
N9659793	6246 2958
N9660088	5310 2163 2298 81 5768 437
N9660231	5310 3166
N9660320	1327
N9660364	1577 5808 6261 5662
N9660367	2524 81 1872
N9660421	5310 5337 8202
N9660612	4686 3068
N9660631	5137 1577
N9660656	8314
N9660830	7389 7429 816 63 3812 146
N9660886	578 1419 6886 4559 4129 1188 8202 8202
N9661024	4841 7396 3440 4015
N9661167	4014
N9661194	2176 5310 1474 7396
N9661245	5938 8516 8516
N9661256	2722 5310 4163 3104 5768
N9661262	4592 7250 2430 2199 1317
N9661584	1577 8516 1443 6164 2869 2300 5938
N9661660	8274 7433 7663 7663 6295
N9661758	7499
N9661858	6496 7671 7775 7338 8275 7404
N9661896	8189 8055 8055 1072
N9661909	85 6188 6468
N9662019	387 8324
N9662020	1210 3104
N9662053	6980 4900 3557 2869
N9662068	7342 5310 2374 6188 6468
N9662077	4691
N9662106	3593 2926 3386 3511 5337 2915 5444 5274 2945 8324 3864 2437 6712
N9662142	2374 4646
N9662198	3646 5310 4866 3623 1057 815 4639 2856
N9662590	5720 1724 2542 2542
N9662601	4071 3207 4841 3440
N9662780	6176 5667
N9662835	5667
N9662870	7815 8332 3049
N9662969	2176
N9663005	4538 2298 6127 1076 7663 7663 4538 2298 6127 1076 7663 7663
N9663230	1015
N9663313	5310 760 7569
N9663443	2632 4351 7569 2190
N9663491	7389 5209 4834 219
N9663546	3207 5442 4841 977 3440 4015
N9663605	248 3440
N9663634	6091 2632 4498
N9663641	6909
N9663715	2021 6290 119 5952 744 4841 3440
N9663762	5310 5887 2600
N9663781	7840 7501 1993 5197 6941 5136 6881 3093 3093 4868 3253 72 3923
N9663799	384 4631
N9663801	3821 1066 7499 1910
N9663940	2883 7499 5340 6940
N9663976	5310 4375 2826 1381
N9664049	384
N9664052	3764 4820 7653 5069
N9664053	4619 5011 5501 5634 5634 3838 4338 7499 1859 3478 4144 114
N9664060	3094 7210 3767
N9664173	251 1758 4691 5310 8312 2298 2754
N9664190	677 7499
N9664250	3094 1174 4841
N9664269	5310
N9664355	1629 3146
N9664390	4715 4597
N9664451	5310 1904 1076 7663 5456
N9664536	5404 3743
N9664622	2631 3839 2066 7396
N9664814	2486
N9664914	5796 5081 1682
N9664924	1577 988 4254 6261 8202
N9665024	3529 5956 2021 744 3440
N9665108	5310 5633 8275 5083
N9665156	625 1577 3440
N9665220	6176 5978
N9665230	3172
N9665286	7499 7932
N9665316	5310 2440
N9665320	7596
N9665367	643
N9665477	7527 6980 387 1015 8091 7899 7836
N9665550	6501 104
N9665566	7499 7932
N9665577	161 2631 6886 4201 5089 995 7153 8202
N9665613	3500 7499 78 7932
N9665636	7499
N9665676	8311 7479 7171 2275 1577 6490 6490 5884 1383 3439 81 1872
N9665701	5189
N9665751	1207 1383 2056
N9665757	5310 6655 1577 6853 698 7380 7380 1872 3440 2190
N9665917	4708 5310 4841 8202
N9665943	1076 7663 5456
N9665964	1225 3484 5310 2163 8268 3890 1383
N9666025	5991 3094 3338 4583
N9666076	4922 2328
N9666132	7804 5598
N9666145	2163 4468 2856
N9666148	3463 2497 2497
N9666166	4510 4216 577 1016 749
N9666185	5310 2495
N9666421	5884
N9666504	6054 5972 8086 8087 5442 4841 977 3440 3832 4015
N9666530	3264 3793 5442 8057 5790 3440 6272
N9666599	8029 5972 8387 4841 3440 3205 4015 6802 6802
N9666671	4555 1478 2414 4693 1577 3786 7875 7867
N9666682	1577 22 5768
N9666835	4550 1823 1072 1524
N9666839	3193 8460 7171 8356 483
N9666842	1577 1577
N9666856	5310 6211 1740 7042
N9666870	5085 6127 6127 1076 7663 6295 1649
N9666871	3094 2053 5768
N9666919	6827
N9666961	2783 785 3821 5310 2524 7499 78 3662 4564 2783 785 3821 5310 2524 7499 1910 78 3662 4564
N9666966	85 1545
N9667034	5310 7479 6725 1383 81 1872 6459 1163 7569
N9667066	1474 7396
N9667131	6659 1794 6124 7121
N9667163	1969 5310 2163 6176 7171 7068
N9667216	4686 8215
N9667235	999 4013 7917 3764 2164 1066 5884 7121 3894 2447 7441 6682
N9667256	5310
N9667289	8029 5310 1577 8332
N9667329	1066 3860
N9667435	5310
N9667440	3903 451 7055 1577 2234 4767 5404
N9667441	195 4550 5913 195 4550 5913
N9667480	1545 6015 5310 8432 7499 871 7932
N9667488	2163 6827
N9667501	3111 3226 3500 966 3850 5366 6091 1278 2459 2154 1639 61 53 7694 7142 6797 1572 7853 1911 8202
N9667585	1225 1579 5310 1229 2163 6176 7499 3104 6361 2856 5768 437
N9667792	6307 2127 4154 687 2516 5874 7663 3447
N9667845	3529 7684 7548 5513 7271 19 4966 2527 7847 5442 4841 977 3440
N9667923	1577 7746
N9667939	3462 7499 2274 7653
N9667993	5088 8311 7171 6853 3623 81 7569 2190
N9668066	6176
N9668072	6176 7138 3768 4392 3019 5368 8202 7569 5718 6176 7138 3768 4392 3019 5368 8202 7569 5718
N9668080	7171
N9668098	7499 1687 7499 1687
N9668144	6055 7977 1227 3628 669 1954 1954
N9668156	6826 7396 4018
N9668206	2471 5310 8060 5310 8060
N9668213	3440
N9668350	5619 5201 4715 1504 4597 4583 6933 4219 6162 6261 7404
N9668356	2640 7608 7715
N9668413	8311 7171 7666 7569 2190
N9668426	4715
N9668492	6886 2021 5569 3440 3440 8202 546
N9668808	715 5979 2412 3689 4675 7240 2822
N9668834	7499 6928
N9668843	5310 7171
N9668881	2801 5310 6941 2084 5990 8324 3093 481 2801 5310 6941 2084 5990 4891 8324 2037 3093 481
N9668900	1577 3479 4087 640 7396
N9668968	2374 6127 2655 1076 7663 7656 5456 1649
N9668969	5310 2188 7042
N9669015	5348 6200 6082 2786
N9669138	1340 1577 4868 7205 5084
N9669228	7917 8233 8125 2374 1407 6255
N9669517	3396 3285
N9669548	3386 8202
N9669582	8202
N9669589	7428
N9669618	7627 4644 1419 3262 1953 7333 1577 7681
N9669647	3593 468 3511 260 3961 2915 6026 3581 8369 2437 5442 1946 3941
N9669701	5310
N9669794	6167 2323
N9669846	4794 6097 5320
N9669855	3899 4976
N9669883	6760 2127 1076 2742
N9669902	5310 4715 3202 7499 8324 78 1123
N9669928	8029 3568 6290 1120 5175 7396 3440
N9670033	5310 5742 2869
N9670057	3815 3500 5190 6290 78 3836 7396 3440 4690 2076
N9670069	4315 6586
N9670081	841 3568 2951 4031
N9670095	7493 5310 7575 802 6098 6319 7255 7380 744 4841 2107 4744 5569 3440
N9670132	5310 7491 5060 4048 3886 5768 3065
N9670153	5310 8530 1492 8498
N9670154	5310 6030 4891 3648 5853 7186
N9670166	6517 323 4820 7653
N9670241	6107 1905
N9670286	5310 7087 447 7631
N9670314	5201 447 1717
N9670324	688 7171 2466 6159 437
N9670351	6577 365 1956 5310 3980 1229 2979 2298 4189 2674 6712 977 437 8202
N9670430	7389 3179
N9670469	4715 6176 1460 4965
N9670554	7004 4264
N9670570	1577 7029 2788 7396 5211
N9670588	5189 8423
N9670723	3258 415
N9670736	7171 1015
N9671008	5310 134 6091 6355 7771
N9671074	5310 4900 8091 7836
N9671226	1098 7499 6631 3836
N9671276	4742 1778 1950 727 7499
N9671393	4243 3807 6244 2374 4415 2931 1635 2827 7663 7656 5456
N9671544	677 5189
N9671722	3498 4675
N9671733	1076 1076 7663 7663
N9671822	6176 1039 5442 1724 5258 4536 5789
N9671831	6054 7637 4841 3440 4015 4015
N9671904	3573 4841 977 3440 4170
N9671915	5310 1207 1213
N9671924	1577
N9671955	60 333 333 1549
N9671960	7501
N9671976	2722 2163 6176 3104 744 4841 5960 3440 3832 3832
N9671983	4780 785 5310 2374 2298 1577 5934
N9671988	1066 1524
N9672008	8324 7499
N9672022	5310 485 533 4189 6471 1475 1271 1261 5768 1584
N9672051	3529 5075 2163 1740 4856 5442 5768 3410
N9672076	6054 3895 7794 5229 6429
N9672150	4398
N9672159	7131
N9672223	2034 3822 427 1039 3288
N9672256	4922 3709 2140
N9672369	7499
N9672384	8029 6176 5689 5442
N9672569	3207 802 802 4841
N9672665	3484
N9672676	2547 4583
N9672774	6654 4620 3439
N9672777	8029 2021 977
N9672794	1997 2279
N9672802	2279 2279
N9672874	5310 4900
N9672915	6091 3793
N9672928	5310 7499 3104 4719 5146 5768
N9673030	8029 3701
N9673039	107 4550 3764
N9673124	7004
N9673134	6314 4808 2190
N9673238	7171
N9673255	1776 7574 3384 7171
N9673285	410 3511 3961 6008 1824
N9673328	2537 5310 686 5779
N9673382	8076 5967 3338
N9673391	7462 7277
N9673416	2736 2105 6176 6472 6810 1198 3104 7663 1954
N9673468	6176 7234 1524 7653
N9673472	2163 7171 177 1752
N9673479	7389
N9673516	3357 5189 5149
N9673564	878
N9673706	4592 7499
N9673769	2374 8411 7210 5768 6459
N9673779	5310 2127 1577 8393 437
N9673782	663 1724
N9673948	2176 5452 7499
N9673979	2211 1606
N9674025	815
N9674063	4674 7663
N9674116	3860
N9674201	2697
N9674225	2374 1577 5428 4831 7396
N9674243	5619 5619 3876 7171 1577 1162 3824 6261
N9674303	3386 1207 1213
N9674356	4419
N9674383	2757 2757 2757 6577 253
N9674394	2176 5201 3496 3496 3637
N9674398	1405 6091 2915 1577 5981
N9674436	7389 6364 3718 7171 7499 1752
N9674448	4686 2307 7396 8202 3754
N9674499	2163 6871 5443 802 3573 372 4841 1724 6712 3440 8202 7636
N9674505	2176 2163 8389 7499 7331 2190
N9674544	8193 4790 1072 1724
N9674558	6922 6922
N9674571	7499 173 1047
N9674572	6517 1408
N9674639	3718 7171 4899 7499 6449 4575
N9674662	195 4550 3764 5913 450
N9674700	5310
N9674784	410
N9674812	4592 7171
N9674817	1029
N9674821	7499
N9674870	5340
N9674905	2430 2835
N9674928	2631 2895
N9674937	7499
N9675047	6124 3130 2632 1910 3963 8229
N9675061	7840 6577 2317 2317 5107 5107 1572 8202
N9675073	2054
N9675099	2603
N9675166	3948 2632 1910 3963
N9675172	2748 1577 2632 7499 1524
N9675213	6467
N9675228	6577 3621
N9675330	4583
N9675349	3264 6980 5310 4899 4354 4841 5768 1423 437 6272
N9675527	5442
N9675716	5011
N9675820	728 4632
N9675841	78
N9675921	3500 7836
N9675953	6980 4900 7396
N9676057	6980 2363 7499 8411 5430 4551 450
N9676128	1778 2404 3479
N9676191	7176 6306 7396 557
N9676217	5310 4690
N9676226	2722 1020 7396 7478 7478 5317 5317
N9676294	122 744 5569 8202 7961
N9676308	2648
N9676320	4550 2370 2426
N9676363	3104 4686
N9676378	6496 4658 7871 5310 2374 2408 1130 4841 3440 8202
N9676384	8018 999 5310 6801 4715 3764 7327 29 4812 4797 1577 3035 7499 4786 6346 967 2447 4841
N9676387	7171
N9676392	5628 2471 4218 651 5197 250 6886 2127 7450 7617 2525 1364 3439 7248 761 761 1115
N9676395	7474 5310 5197 191 1115
N9676398	999 4013 3764 2164 1066 5884 4091 7121 3894 2826 2447 1524 1737 7441 6682
N9676456	4103
N9676472	3605 1577
N9676485	2301 2430
N9676512	4727 6176 3228 1872 2190
N9676567	7705
N9676613	4244
N9676621	4727 7491 2163 2163 5830 2869 8120 81 1872 7569 2190
N9676668	5310
N9676744	5310 2669 1492 437
N9676749	623
N9676767	5310 8091 5929 2079 7852
N9676798	4550
N9676800	1577
N9676832	1628
N9676900	3660
N9676938	1974 3587 7501 5197 6881 6294
N9676975	3053 4551
N9676985	5758 6223 2900 7556 6283
N9677041	85 1942 7776 1162 85 1942 7776 1162
N9677083	8466
N9677154	4795 1198
N9677204	2804 4341 1906 3117 5924
N9677209	6980 1383 4354 4841 5768 1423 437
N9677220	715 2722 5337 8324 5847 6998
N9677264	4715 6091
N9677376	3529 19 3573 2418 5442 1423 8202
N9677455	3529 4833 6570 544 5442 4642 2786 8202 3832
N9677648	1993 4154 1577 3267 7999 2708
N9677683	6638 1267 5960 5768
N9677686	4900 2869
N9677690	7249
N9677697	1993 7936 3386 2098 4841 3440 8132
N9677705	7451 5638
N9677713	5310 2163 8324 5442 6712 6261 6261 6261 3832
N9677717	3529 5310 5386 7437 7210
N9677720	7527 5310 6863 7499 19 4841 81 3440
N9677721	7396
N9677739	2631 6176 1155 5768 2631 6176 1155 5768
N9677749	2003 3656 4686 973 3104 4795 1724 437
N9677756	3787 3787
N9677757	6940
N9677781	7389 7171 1495 2447
N9677792	5510
N9677809	81 6416
N9677841	7375 5292 5310 967 3440
N9677875	1342
N9677895	2374
N9677910	7513 7171
N9677919	7133
N9677963	6150
N9677993	5310 7499 5884 8229
N9678049	8029 6812
N9678106	3740 1419 1419 1953 5310 6818
N9678131	4550 6517 3764 1066 5884 7653 7653
N9678242	7263 8029 7463 5877 8202
N9678250	8311 5310 2374 6230 2127 2298 3770 1123
N9678251	6208 3918
N9678284	3500 3500 785 8316 5708 7783
N9678300	1579 1370 5310 2546 3453 7967 5708 1198 3093 1492 5599 2532 437
N9678305	7639 8530 1495 2447
N9678365	1577 8250
N9678377	3586 8513 5310 2546 4594
N9678391	6512 6917 5310 6176 3367 7543 3479 2079
N9678511	6419 2151 5442
N9678526	1906
N9678595	1617 7342 6950
N9678600	2369 7840 1993 1642 4833 6166 5146 2856 4671 7746
N9678658	715 7425 3892 3689 794 270 1859 6471 8324 4375 4375 4820
N9678735	3718 8229 7852
N9678772	4795
N9678994	2447 6933 7396
N9679140	5310 6933
N9679218	8536 8029 4868 8202
N9679232	4550 2225 3948 1778 8091 2632 1910 3963
N9679290	5446 6245
N9679459	5500 4015
N9679528	8018 3828
N9679552	4567
N9679570	8125 7425 3365 5047 6255 5506 2072 6713 2734
N9679590	7171
N9679599	7171
N9679671	4922 3427 7499 815 2328
N9679672	3587 421 1740 7087 6098 3573 6294 3440 3832
N9679698	5618 2835 5090 2447
N9679755	5545 3299 6071 3796 6604 1333
N9679756	8347 5197 7144 8016 7248
N9679784	688 4820
N9679835	7171 2021 81 6261 7396
N9679851	3094 525 3767
N9679885	6805 7616 1207 8324 7210 1213
N9679893	5310 2298 3983
N9679921	7570
N9679923	6512 6091 7499 6261
N9679971	1419 8311 1953 5310 3040 7663 8202 546
N9679995	6154 546
N9680013	5245
N9680044	7092 3396 6577 8324 7115 7668
N9680102	6743 3669
N9680126	5978 5442 5768 4170
N9680136	1922 5310 5452 1123 643
N9680186	5310 7899 3836 6940
N9680191	7840 7501 3094 2805 5197 3684 3597
N9680199	1953 4687 6743 7499 1839 2826 711
N9680209	6490 1872
N9680396	3529 6516 5310 4217 7087 5442 4841 2079 3440 8202
N9680761	8202 4796
N9680903	1467 1993 2431 6608
N9680907	4702 6335 269
N9680923	7140
N9680947	8311 7129 7499
N9681054	5684 3410
N9681073	5310 6251 6146 1572 5469 2190
N9681084	6577 3659 3104 372 2230
N9681247	2176 2509 7521 2495 4715 7499 6957
N9681303	5197 3093 3213 4358 3597
N9681310	2578 4583
N9681426	4481 972 6933
N9681449	1085 3440
N9681475	2022 2022 8015 1846
N9681487	4883 4883 1041
N9681635	4217 462 6098 3573 7347 4671 3440
N9681655	1577
N9681656	5791 404 7115 4501 1319 1389
N9681657	3587 6294
N9681783	3306 3478 7126
N9681984	1066
N9682026	8068
N9682108	182 7493 1953 5310 8280 7491 199 5337 8219 2524 2021 7087 6490 1383 7380 2388 967 744 4841 437 8202 3832 546
N9682133	7396
N9682155	5310 5000 6428
N9682236	4550 1524
N9682487	6496 4071 806 6937
N9682663	4550 5253 1524 7653
N9682712	1463 5253 1524 8202
N9682757	7653 6682
N9682782	2412 7958 4675 6431 6401 4148
N9682949	7389 5310 4715
N9683024	1577
N9683056	6294
N9683057	234 5918 7396
N9683105	250 3093 6294
N9683115	8134 8202
N9683127	7527 2869 5768
N9683183	7396
N9683192	6725 1740 295 2547 4168 7396
N9683226	802 4841 977 4015 4015
N9683279	6909 5310 7499
N9683289	5279 5310 5536 5442 4730
N9683387	1575 6091
N9683457	4222 1752
N9683564	785 383 2720
N9683591	413 7396
N9683616	7501 2374 5197 6941 4468 6881 6581 3093 2061 6294 7840 7501 2374 5197 6941 6941 4468 6881 6581 3093 2061 6294
N9683706	5310 3656 4907 5978 7302 5316 2826 3068
N9683723	1306 3926
N9683742	6940
N9683765	785 2720 6940 8519 4240 450
N9683838	6577 5310 3993 6586 8202
N9683906	4550 5978 5189 2826 1524 7653
N9683945	6516 4899 4217 462 462 5442 4841 3440
N9683997	5310 3718 306 2190
N9684099	785 6971 677 3424 2751 78
N9684126	3386 1039 6712
N9684136	8526 6176 2869 5202 5202 5202
N9684151	1906 5310
N9684309	3072 5958 5337 4899 3057 4795
N9684324	5618 8120 8120
N9684351	7389 4013 1805 3094 2784
N9684423	7389 7389 1542
N9684493	1225 1922 8274 7433 370 2127 7831 2856 1542
N9684530	5310
N9684550	3102 354 557
N9684685	1579 3568 2303 361
N9684806	7958 4675 4675 4675 4148
N9684848	3396 460 5762 6082
N9684912	7171 4217 462 282 4841 977 8202
N9684918	7171 2430
N9684981	1234 2438 278
N9685014	4550 6060 3772 2632 1910 3963
N9685090	7775 1597 7564 6801 6724 7866 165 7131
N9685096	3040 8500 7663 2848
N9685103	6071 1717 7786
N9685166	1767 5495 4742 7499 5792
N9685186	5300 3367 3479 3444
N9685199	2022 4639
N9685256	1595 6462 134 6069 1964
N9685513	8264 6260 7171 3201 4928
N9685524	2471 8311 8311 5310 6091 5766 7499 693 78 1123 8121 2928 348 977 4690
N9685530	8344 5310 1207
N9685548	7290 5310 1207 1383 81
N9685604	4468 3478
N9685650	8311 7491 6700
N9685695	81 1872 7396
N9685759	2262 7087 2079
N9685779	2591 7585 3504 2009 78 1123 2328
N9685790	5310
N9685817	8245 5310 2665 8092
N9685856	2003 2262 2090 8541
N9685982	709 2869 6184 2190
N9686032	5310 1872 8454
N9686038	715 5310 3656 5978 5802 2826 7396
N9686384	7205 1959 8202
N9686413	3529 3440
N9686426	2163 1387 4841
N9686490	2453 3386 3192 2641 7087 8124 1625 8202 8099
N9686502	8029 7106 3006 5900 1870
N9686521	1828
N9686731	5310 5349 7499 3104 5768 437
N9686796	5310 3656 5978 2430 5316 3836 2826 2826 3166 4889
N9686797	5310 5978 2430 2826
N9686810	8108 5337 2127
N9686845	785 5310 2374 3948 1687 1198 1095 2751 78 1492 6219 5768 785 5310 2374 1687 1198 2751 78 1492 6219 5768
N9686860	8108 1679 5310 4715 7864
N9686909	8462 7193
N9687016	4767 7396 7445
N9687027	8363 2163 6176 5539 3104 8112 3068 4841 6712 437 3440 8202
N9687054	4687 3040 6154 7499 7255 8500 3698 5616 7663 5146 3440 546
N9687073	4567
N9687092	5337 6188 8324 3440 6468 5945
N9687119	5310
N9687132	1034 5310 8411 4474
N9687136	1162 4690
N9687146	1034 5635 5310 5337 3103 1740 3282 348
N9687149	2670
N9687296	6060 3772 2632 1910
N9687345	7171
N9687382	3662 3301
N9687411	155 5310 3656 5337 2127 2826 6933
N9687413	5310 4900 8548 99 8091
N9687639	5310 3330
N9687644	4233 1577 6026 1335 3836
N9687661	4261 1370 4550 4223 5310 7499 4069 1198 3189
N9687664	450
N9687691	4013 7049 219
N9687737	8311 6367 5310 2374 8091 7499
N9687747	5221 2163 2127 3114 3114 437
N9687753	4900
N9687885	4841
N9687901	5310 6019 1577 1162 1162 4690 5211
N9687938	1577 4360
N9687961	1333 181
N9688059	744 7396 3440
N9688102	1217 53 573 6245 1284
N9688115	2176 5310 1382 375 375 6316 8272 8272
N9688120	7530
N9688144	6176 4899 5647 1383
N9688146	2363 6124 4551
N9688298	3529 6577 4708 1868 5442 4841 5034 8202 3108
N9688329	5969
N9688372	7087 5442
N9688383	6176 8202
N9688484	5351
N9688532	5310 6634 3568 3068
N9688630	4583 81
N9688660	5666 7203 5310 7234 3104
N9688681	7527
N9688774	5310 486 694 1954
N9688780	7451 7499 2190
N9688835	8311 2817 7171
N9688894	5265 5310 2374 1713 977 3787
N9688914	5651
N9688918	5310 6176
N9688986	4014
N9689088	3886 3620 4820
N9689105	5235 6514 3486
N9689107	5310 3623 81 5469 2190
N9689162	4158 7396
N9689167	5954
N9689228	2003 5310 1577 3677 4572 2003 5310 1577 3677 4572
N9689389	4727 2163
N9689491	5310 81 1872 8454
N9689514	2190
N9689554	3587 7501 5337 4468 6294
N9689639	5310 2190
N9689717	1836
N9689837	3094 3874 7210 3767
N9690025	6307 5255 7425 5113
N9690131	1660 5310 5978 3430
N9690190	8029 4523 1842
N9690272	3500 4394 1679 1910
N9690499	3125
N9690521	785 2748 6060 7836
N9690583	2487 7171
N9690590	6531 6054 5513 2021 6319 3440 4015
N9690638	3899 1660 4550 5310 2374 3764 5978 3267 6658 4891 3478 2826 4820 6682 961 3899 1660 4550 5310 2374 3764 5978 4468 3267 6658 4891 3478 2826 6682 961
N9690644	5310 1229 6319 977
N9690869	6666 394 1227 7663
N9690871	5310 8192 4928 2856 8202 3691
N9690878	5310 1936 5804
N9690898	2385
N9690920	1419 1953 5310 4715 4031 7380 6487 6487 8202 546 169
N9690932	5310
N9690938	4592 1679 7499 1910
N9690939	81 7396
N9690991	8311 7499 1606
N9691002	6879
N9691241	3386 8440 6176 4468 6951 8283 8283 8202 1603 1603
N9691302	4339
N9691306	3367
N9691338	5310 8359 6176 6944 3104 6592 3254 5768 26
N9691368	4772
N9691396	6220 882 3568 919 6974 437
N9691404	4715 1395 348
N9691416	7750 4989
N9691426	4013 3894 1524
N9691438	1755 8487 4686 3068 4795
N9691449	7499
N9691533	4727 2163 741 741 7602 6700 4841 3440 8202
N9691546	3718 3894 6675 4820 732
N9691666	5310 7171 8113
N9691746	2650 2720 7799 4684
N9691844	7936 2664 4028 372 7663 5442 4841 3440
N9691925	6176 3617 2341 7396
N9692011	1225 1229 5960 5768
N9692042	6938 3325 4498
N9692094	3529 802 3573 3440 2604
N9692434	4900 7396
N9692457	5310 5337 967 437
N9692480	6307 5956 5956 3539
N9692490	8029 6886
N9692497	5998
N9692650	1579 3093 4547
N9692746	5310 2163 6176 8219 2140 2524 7499 6345 1940 5469 3440 7569 2190
N9692747	5263 4071 7710 5337 1577 8324 3093
N9692851	1930 1577 8494
N9692867	1660 5310 2430 2826
N9693002	6773
N9693037	5451 6176 8517 4468 7396
N9693076	4550 5310 1524
N9693181	164 6245 8270
N9693402	4019
N9693420	4071 8332
N9693555	722 6980 5310 421 2638 5442 2131 4841 1423 7396
N9693645	4900
N9693649	7814 7840 5310 967 3068
N9693654	5310
N9693663	7171 4468 3078
N9693692	6176 660
N9693697	7398 277 1577 7396
N9693778	3500 5310 2298 1910 3104 1155 2916 6592 4170
N9693799	5310
N9693827	2279
N9693837	5310 4642
N9694022	2246 7171 1991 1291 2228 6245
N9694195	7171 5069 5069
N9694206	5337 4468 6471 3440
N9694365	5310 6713
N9694403	927 8439 3339 6220 4008 6712 1010 1329
N9694580	1050 2753 5442 7396
N9694632	8321 1037 1220 6176 4913 4913 8043
N9694728	6778 6778 2176 5452 6091 7499
N9694734	8029 288 4892 2827 7838 7396 8202
N9694752	1535 1579 2722 4217 462 4618 1740 2978 7087 802 7738 3573 1954 4841 6459 3440
N9694778	8441 2856
N9694815	7840 5979 5310 2374 2127 3068
N9694850	6091 1383 2277 20
N9694921	1194 5310 1198 2751 5768
N9694957	70 6127 3104 2856 7879
N9694988	4943 4943 5122 4559 7396
N9694998	3975 4715
N9695033	4899
N9695038	5310 1383 7842
N9695054	134 8316 6206 1577 4376 1040
N9695071	7868 3504 7332 4507 61 5768 6928
N9695080	6060
N9695098	5310 5228 8253 1169 8057 5310 5228 8253 1169 8057
N9695115	7899
N9695175	7290 5310 1207 6068
N9695178	2813
N9695185	5310 5277 310 1778 145 7499 5884 2279 3836 92 2855 2078 5310 5277 310 1778 145 7499 5884 2279 3836 92
N9695203	4757 280 1225 7522 2506 512 5310 2127 2298 4789 1292 4583 791 1724 1809 437 325 4757 280 1225 7522 2506 2127 2298 4789 4583 791 1724 1809 437 325
N9695249	6517
N9695259	6165 1577
N9695287	7775 8311 2190
N9695377	5960
N9695386	7171
N9695396	5310 6709 873 7121 2395 2600 437
N9695420	4261 1194 2971 7499 2751 6940
N9695422	4469 4487
N9695503	7396 3440
N9695515	6853 7569 2190
N9695574	812 6349 4027 3822 6886 554 1487 1163 8202
N9695580	1895 7945 6124 3334
N9695621	3529 5310 2298 425 967 5442 4841 2856 6123
N9695726	906 1419 1953 5310 1289 3040 1122 7255 8500 8408 7663 2437 8202 546
N9695727	2190 3512
N9695754	7663 546 2437 3040
N9695762	3529 5442 7477 8202
N9695805	5310 6176 3889
N9695816	6382 7566 7396
N9695838	2914
N9695911	5974 8240 4724 2127 3275 2298 4189 5960 5768
N9696062	2314
N9696065	1577
N9696118	773 1674
N9696128	4086 4086
N9696133	6042 7171 6886 2656 1876 1876 4086 430 7477 1132
N9696148	1737 977
N9696178	5442 7396 758
N9696204	2722 5972 4841 7396 3440
N9696252	4841 3440 8202
N9696256	6260 4019 3916 7964 5435 6682
N9696297	352 5082 2826 7653 352 2826 2826 7653
N9696324	5325
N9696368	5951 4283 5310 815
N9696388	5310 2021 8087 6290 7380 7380
N9696395	6307 5979 5979 3689 2822 6713
N9696427	6188 372 545 7396 3440 7301 5714
N9696449	5310
N9696474	999 4013 4550 3764 2164 1066 5884 7121 5189 1524 7653
N9696642	5591 4493 4493
N9696657	1577
N9696668	4279 4570 7653
N9696697	5430 437 6682
N9696737	3496 367
N9696764	367 7499 6164 6712 8202 1436
N9696798	6220
N9696801	5451 4838 3102 614 5768 5105
N9696813	3308 7521
N9696825	715 5979 2412 6014 7425 3537 3958 8426 6471 4375 93 7696 4020 5976 1751
N9696846	1207
N9696847	1172
N9696855	7389
N9696875	2054
N9696900	6444 7306 437
N9696936	306
N9696971	2374
N9696983	4715
N9697063	7527 5310 5469
N9697088	3173 3327 6933 6121
N9697152	5310 6091 7499 2072 1524 4820 7653
N9697164	2079
N9697224	6529 4618 4468 6459 306 8202
N9697476	1577 7499 2151
N9697482	5108
N9697656	7171 802 4345 3573 4841
N9697837	8091 7836 7396
N9697862	8311 7451 5653 7499 8442 7380 6261 6261 7718
N9697868	4071 5668 6813 7712
N9697879	2127 7663 8010
N9697901	5310 2432 3668 5768
N9697916	272 2288 437
N9697924	7527 450
N9697989	4592 7499 7899 7836
